Years & Months,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,,,,,,
1995-01,0,0,64.8,0,0,0,0,0,0,0,0,0.1,0.2,0,4.3,0,0,0,0,0,0,2.4,0,0,0,0,0.4,0,0,0,0,,,,,,
1995-02,9.4,8.6,0,7.3,0,0,0,0,0,0,0,0,0,0,0,5.8,0.4,0,0.6,2.8,0,0,0,0,0,0,0,0,,,,,,,,,
1995-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.7,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,,,,,,
1995-04,0,0,0,1.5,29.2,0.2,23,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0,0.1,0.1,7.6,0,35.7,1.2,46.8,0.1,8.2,,,,,,,
1995-05,0,0,0,0,2.6,10.1,0,0,0,0,0,0,2.2,2.1,16.8,0,0,0.1,4.4,14.6,26,0,0,2.4,0,0,0,28.9,1.8,0,0,,,,,,
1995-06,0,0,2.1,0,0.1,12.4,2.4,20.1,15.5,8,16.4,2.4,5.9,0.6,0.1,2.1,18.6,25.7,0,0,11.4,0,7.9,1.4,72.1,0,3.7,7,5.8,0,,,,,,,
1995-07,1,0,0,1.4,7.8,13.6,0,1.6,0,4.3,19.5,0,0,0,11.1,1.4,5.4,0,11,2.2,0,1.2,1.1,36.4,0.2,4.6,1.3,68.4,3.5,68.1,1.2,,,,,,
1995-08,0,0,4.7,0,1.4,7.8,2.1,0,0,0,8.4,0,2.4,0,0,0.7,1.8,6.4,0,2.1,44.5,45.4,0.8,2.1,7.9,12.5,12.8,21.1,15.3,6.8,0.3,,,,,,
1995-09,0.1,6.6,8.4,6.8,0,0,0,16.7,0,0.1,0,0,0,0,1.6,0,1,31.2,0.2,0,3.4,0,0,0,0,0,46.2,0.1,1.3,0.6,,,,,,,
1995-10,1.1,20.4,2.1,5.4,1.5,6.7,23.9,11.8,5.4,0.8,0.9,3.5,0.1,0,0,0,0,0,0,5.7,8.4,0,14.1,11.4,6.9,2.8,0,1.1,0,0,23.6,,,,,,
1995-11,48.4,14.5,8.5,0,0,0,0,0,0,0,0,0,0,82.5,2.1,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,,,,,,,
1995-12,0,0.1,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,36.6,0,0,0,0,0,0,,,,,,
1996-01,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0.8,0,7.6,0,0,31.4,0,0,0,1.2,0,0,0,0,0,0,0,,,,,,
1996-02,0,0,0,0,3.1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0.2,0,0,0,0,0,0,0,0,,,,,,,,
1996-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1996-04,0,0,0,0,0.7,3,0,0.2,0,0,0.2,0,0.7,2.2,0,0,0,0,2.1,16.1,0,1.8,0,0,0,0,0,0,0,0,,,,,,,
1996-05,5.1,35.2,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0.2,0.1,0,0,2.3,3.4,4.4,8.4,48.3,0.4,7.2,0.4,,,,,,
1996-06,14.5,8.4,5,81.4,3.4,0,1.9,14.4,18.9,10,0,0,2,0,0,11.6,0,0,45.4,23.9,37.6,17.5,4,0,0,0,0,0,0,0,,,,,,,
1996-07,0,0,0,0.1,0,10.1,57.4,3.7,5.4,10.2,14.8,6.9,4.3,2.4,8.4,0,8.9,33.1,12.1,19.2,7.8,30.8,13,0.2,12,2.3,0,13.9,0,0,0,,,,,,
1996-08,0,0,23.8,25.3,84.7,0,0,0,3.4,0.1,0,3.2,0,4.5,0,0.1,0,0,2.8,0,1.6,0,4,4.8,4,1.9,0,0,0,0,0,,,,,,
1996-09,0,0,1.8,3.4,2,0,2.4,1.3,0,0.4,1.7,1.2,3.8,8.1,0.4,0,0,1.8,11.4,117,17.8,0.6,0,0.4,2.4,25.6,17.5,1.6,1.6,0,,,,,,,
1996-10,3.1,0,31.5,15.2,0,0,0,0,1,45.6,1.6,0,2.1,15,0.8,0.6,36.6,14.1,9.9,16.5,0,0,0.8,1.9,0,0,0,0,0,0,0,,,,,,
1996-11,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.2,10.6,0.2,0,0,0,0.8,12,0,0,8.2,0.2,0.2,,,,,,,
1996-12,0,0,0,0,0,0,0,0,0,1.2,7.4,6.8,0,0.4,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4.2,0.2,0,,,,,,
1997-01,0,1.2,0,0,0,0,0,0,0,0,0,0.6,0,0.1,0,0,0,0,0,0,0,0,0,0,6.2,0,22.8,0,0,0,0,,,,,,
1997-02,0,0,0,0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,,,,,,,,,
1997-03,0,0,0.1,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,5.9,0.9,4.8,0,,,,,,
1997-04,0,0,0,4.2,10.1,3.6,17.6,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0.1,0,17.4,0,0,4.8,,,,,,,
1997-05,0,0,0,0,1.8,0,0,0.1,0,0,0,0,58.5,0,1.7,4.5,46.8,1.2,0,0,0,0.2,0,0,0,0.2,2.5,0,0,0.1,0,,,,,,
1997-06,10,0,0.1,6.4,0,0,0,1.8,0,0,0,35,1.3,5.7,1.2,0,0,0,0,0,0,0,0,24,10,27.3,1.8,13.8,3.9,0,,,,,,,
1997-07,6.8,5.8,7.3,7.6,1.2,0,0,0,15.3,2.5,0.5,0,1.9,23.3,10.5,2.1,27.3,1.6,42.9,55.4,23.6,51,12.2,51.8,7.2,2.1,0,0,0,0,3.4,,,,,,
1997-08,1.2,1.4,0,0,0,5.8,0.8,28.8,13.2,19.7,2.5,39.2,14,0,0,0,0,1.4,0.8,27.7,48.6,13.8,4.3,0,0.2,1.2,0.2,6.2,63.4,0.2,4.1,,,,,,
1997-09,0,0,1.3,0,0.7,0.4,1.7,0,0.1,18.6,89.1,0,0.1,2.1,4.2,3.8,0.5,0.1,4.4,41.6,6.6,52.4,43.6,6,0,10.8,0,0,0,0,,,,,,,
1997-10,0,0,0,0,10.1,10.2,0,0,7.6,0,1.8,17.8,0,1.8,3.8,7.6,1,6,8.5,0.1,0,0.3,15.2,0,0,15.2,0,0,0,0.1,0,,,,,,
1997-11,4.2,0.4,6.3,37.5,0,0,0.2,0.1,4.5,0.1,2.1,7.4,0,10.4,6,12.2,9.6,0,0,0,0,0,65.6,56.6,0,0.1,0,17.3,2.2,0.2,,,,,,,
1997-12,31.1,0,2.5,8.2,0,54.2,0,0,0.8,0,2.1,23.3,1.8,3.4,10.8,0,26,0,0,1.3,0.6,0,10.1,0,0,0.8,0,0,0.1,1.8,0,,,,,,
1998-01,18.1,47.3,0,16,0,0,0,0.1,1.4,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0.1,6.1,0,0,0,1.6,0,0,0,0,,,,,,
1998-02,0,0.1,0,0,0,0,0,0,8.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,10.9,0,0,0,,,,,,,,,
1998-03,0,0,0,0,0.1,14.2,0,0,0,0,0,0,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
